,yearID,teamID,R_per_game,HR_per_game,W_percentage,BB_per_game,SB_per_game
72,1964,NYA,4.451219512,0.987804878,0.603658537,3.170731707,0.329268293
73,1964,NYN,3.490797546,0.63190184,0.325153374,2.165644172,0.220858896
74,1964,PHI,4.277777778,0.802469136,0.567901235,2.716049383,0.185185185
75,1964,PIT,4.092592593,0.74691358,-0.49382716,2.518518519,0.240740741
76,1964,SFN,4.049382716,1.018518519,-0.555555556,3.117283951,0.395061728
77,1964,SLN,4.413580247,0.672839506,-0.574074074,2.635802469,0.450617284
78,1964,WS2,3.567901235,0.771604938,0.382716049,3.172839506,0.290123457
79,1965,BAL,3.956790123,0.771604938,0.580246914,3.265432099,0.413580247
80,1965,BOS,4.12962963,1.018518519,0.382716049,3.74691358,0.290123457
81,1965,CAL,3.25308642,0.567901235,0.462962963,2.734567901,0.660493827
82,1965,CHA,3.99382716,0.771604938,0.586419753,3.290123457,0.308641975
83,1965,CHN,3.87195122,0.817073171,0.43902439,3.243902439,0.396341463
84,1965,CIN,5.092592593,1.12962963,0.549382716,3.320987654,0.50617284
85,1965,CLE,4.092592593,0.962962963,0.537037037,3.12345679,0.672839506
86,1965,DET,4.197530864,1,0.549382716,3.419753086,0.351851852
87,1965,HOU,3.512345679,0.598765432,0.401234568,3.098765432,0.555555556
88,1965,KC1,3.611111111,0.679012346,0.364197531,3.216049383,0.679012346
89,1965,LAN,3.75308642,0.481481481,0.598765432,3.037037037,1.061728395
90,1965,MIN,4.777777778,0.925925926,0.62962963,3.419753086,0.567901235
91,1965,ML1,4.37037037,1.209876543,0.530864198,2.518518519,0.395061728
92,1965,NYA,3.771604938,0.919753086,0.475308642,3.018518519,0.216049383
93,1965,NYN,3.018292683,0.652439024,0.304878049,2.390243902,0.170731707
94,1965,PHI,4.037037037,0.888888889,0.524691358,3.049382716,0.283950617
95,1965,PIT,4.141104294,0.680981595,0.552147239,2.570552147,0.312883436
96,1965,SFN,4.18404908,0.975460123,0.582822086,2.920245399,0.288343558
97,1965,SLN,4.364197531,0.672839506,0.49382716,2.944444444,0.617283951
98,1965,WS2,3.648148148,0.839506173,0.432098765,3.518518519,0.185185185
99,1966,ATL,4.797546012,1.26993865,0.521472393,3.141104294,0.36196319
100,1966,BAL,4.71875,1.09375,0.60625,3.2125,0.34375
101,1966,BOS,4.043209877,0.895061728,0.444444444,3.345679012,0.216049383
102,1966,CAL,3.728395062,0.75308642,0.49382716,3.240740741,0.49382716
103,1966,CHA,3.521472393,0.533742331,0.509202454,2.920245399,0.938650307
104,1966,CHN,3.975308642,0.864197531,0.364197531,2.820987654,0.469135802
105,1966,CIN,4.325,0.93125,0.475,2.4625,0.4375
106,1966,CLE,3.543209877,0.956790123,0.5,2.777777778,0.327160494
107,1966,DET,4.438271605,1.104938272,0.543209877,3.401234568,0.25308642
108,1966,HOU,3.754601227,0.687116564,0.441717791,3.012269939,0.552147239
109,1966,KC1,3.525,0.4375,0.4625,2.63125,0.825
110,1966,LAN,3.740740741,0.666666667,0.586419753,2.654320988,0.580246914
111,1966,MIN,4.092592593,0.888888889,0.549382716,3.166666667,0.413580247
112,1966,NYA,3.81875,1.0125,0.4375,3.03125,0.30625
113,1966,NYN,3.645962733,0.608695652,0.409937888,2.770186335,0.341614907
114,1966,PHI,4.296296296,0.722222222,0.537037037,3.148148148,0.345679012
115,1966,PIT,4.685185185,0.975308642,0.567901235,2.5,0.395061728
